NATIONAL_BUILDING_ID,PROJECT_NAME,BUILDING_NAME,HOUSING_AUTHORITY,STREET_ADDRESS,CITY,STATE,ZIP5,ZIP9,LATITUDE,LONGITUDE,TOTAL_UNITS,ACC_UNITS,TOTAL_OCCUPIED,PERCENT_OCCUPIED,COUNTY,CITY,MSA_NM,CONSTRUCT_DATE,DOFA_ACTUAL_DT
2085620000,EVERETT WA,,HA City of Everett,728 60th St SW,Everett,WA,98203,4268,47.94382,-122.241817,2,2,2,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1992-03-31T00:00:00.000Z
3965620000,BAKER HEIGHTS,Baker Heights,HA City of Everett,1335 Larch St,Everett,WA,98201,1817,48.000673,-122.193559,4,4,4,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",1944-07-01T00:00:00.000Z,1943-12-31T00:00:00.000Z
8965620000,BAKER HEIGHTS,Baker Heights,HA City of Everett,1402 Fir St,Everett,WA,98201,1834,47.998599,-122.192972,4,4,3,75,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",1944-07-01T00:00:00.000Z,1943-12-31T00:00:00.000Z
2275620000,BAKER HEIGHTS,Baker Heights,HA City of Everett,1231 Fir St,Everett,WA,98201,1829,48.000841,-122.192247,6,6,5,83,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",1944-07-01T00:00:00.000Z,1943-12-31T00:00:00.000Z
7275620000,GRANDVIEW HOMES,Grandview,HA City of Everett,2813 7th St,Everett,WA,98201,1211,48.008055,-122.193116,4,4,4,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
1375620000,GRANDVIEW HOMES,Grandview,HA City of Everett,603 Linden St,Everett,WA,98201,1220,48.00852,-122.192868,2,2,2,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
4375620000,GRANDVIEW HOMES,Grandview,HA City of Everett,701 Linden St,Everett,WA,98201,1222,48.008101,-122.192404,2,2,1,50,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
6475620000,GRANDVIEW HOMES,Grandview,HA City of Everett,844 Linden St,Everett,WA,98201,1225,48.005918,-122.191356,4,4,4,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
7475620000,GRANDVIEW HOMES,Grandview,HA City of Everett,836 Linden St,Everett,WA,98201,1225,48.0061,-122.191478,4,4,4,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
3285620000,EVERETT WA,,HA City of Everett,6518 Fleming St,Everett,WA,98203,4501,47.938507,-122.219568,2,2,2,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1993-01-31T00:00:00.000Z
4075620000,BAKER HEIGHTS,Baker Heights,HA City of Everett,1226 Hemlock St,Everett,WA,98201,1812,48.000624,-122.193397,4,4,4,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",1944-07-01T00:00:00.000Z,1943-12-31T00:00:00.000Z
2175620000,BAKER HEIGHTS,Baker Heights,HA City of Everett,1314 Fir St,Everett,WA,98201,1832,47.999862,-122.19268,4,4,4,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",1944-07-01T00:00:00.000Z,1943-12-31T00:00:00.000Z
2575620000,GRANDVIEW HOMES,Grandview,HA City of Everett,728 Linden St,Everett,WA,98201,1223,48.007669,-122.192618,2,2,2,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
5575620000,GRANDVIEW HOMES,Grandview,HA City of Everett,707 Locust St,Everett,WA,98201,1226,48.007796,-122.193176,2,2,2,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
3675620000,GRANDVIEW HOMES,Grandview,HA City of Everett,831 Pine St,Everett,WA,98201,1233,48.006095,-122.191749,2,2,2,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
4675620000,GRANDVIEW HOMES,Grandview,HA City of Everett,837 Pine St,Everett,WA,98201,1233,48.005995,-122.191691,2,2,2,100,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
8675620000,GRANDVIEW HOMES,Grandview,HA City of Everett,802 Pine St,Everett,WA,98201,1230,48.006313,-122.192433,2,2,1,50,Snohomish,Everett,"Seattle-Bellevue-Everett, WA PMSA",,1951-10-31T00:00:00.000Z
